Error output is also redirected to the log file.
�Fraction нейроны0: 7765/332Размер list_of_neurons: 205
Размер list_of_synapses: 10105
The X11 connection broke (error 1). Did the X11 server die?
оны4: 1/20
Fraction нейроны5: 21757/14336
Fraction нейроны6: 14589/15872
Fraction нейроны7: -125/49
Fraction нейроны8: -45/98
Fraction нейроны9: -22781/20481
Fraction нейроны10: -3071/7936
Fraction нейроны11: 30976/4607
Fraction нейроны12: 13571/25345
Fraction нейроны13: -14593/7168
Fraction нейроны14: -122/5
Fraction нейроны15: -12/11
Fraction нейроны16: 15104/2051
Fraction нейроны17: -98/127
Fraction нейроны18: 79/23
Fraction нейроны19: 43/25
Fraction нейроны20: -92/119
Fraction нейроны21: -9725/2819
Fraction нейроны22: 18688/21503
Fraction нейроны23: 12287/384
Fraction нейроны24: -22528/6909
Fraction нейроны25: 17/46
Fraction нейроны26: -23/37
Fraction нейроны27: -6911/17153
Fraction нейроны28: -256/6403
Fraction нейроны29: 1/7
Fraction нейроны30: 29186/1793
Fraction нейроны31: -32256/14081
Fraction нейроны32: -6271/4097
Fraction нейроны33: -461/5427
Fraction нейроны34: -6401/14080
Fraction нейроны35: -37/52
Fraction нейроны36: 11/26
Fraction нейроны37: -27904/2563
Fraction нейроны38: -17411/30973
Fraction нейроны39: 12289/22787
Fraction нейроны40: -18946/16637
Fraction нейроны41: -1280/28929
Fraction нейроны42: 28931/22530
Fraction нейроны43: 83/70
Fraction нейроны44: 7426/18947
Fraction нейроны45: 48/43
Fraction нейроны46: -13057/6656
Fraction нейроны47: 95/14
Fraction нейроны48: -6913/26112
Fraction нейроны49: 21/4
Fraction нейроны50: 6911/27904
Fraction нейроны51: -26366/3841
Fraction нейроны52: -257/14592
Fraction нейроны53: 27395/8193
Fraction нейроны54: 5/59
Fraction нейроны55: -32512/24063
Fraction нейроны56: 64/51
Fraction нейроны57: 5891/12035
Fraction нейроны58: 30465/13058
Fraction нейроны59: 2306/23299
Fraction нейроны60: 640/9473
Fraction нейроны61: 32765/29949
Fraction нейроны62: -10/11
Fraction нейроны63: 17664/4609
Fraction нейроны64: -21761/10495
Fraction нейроны65: 25345/16386
Fraction нейроны66: -5377/12285
Fraction нейроны67: -14593/2303
Fraction нейроны68: 43/62
Fraction нейроны69: -31486/13571
Fraction нейроны70: 5888/17663
Fraction нейроны71: -11521/21503
Fraction нейроны72: 21757/23552
Fraction нейроны73: 88/7
Fraction нейроны74: 9981/9214
Fraction нейроны75: -113/47
Fraction нейроны76: 3328/8065
Fraction нейроны77: -9601/16255
Fraction нейроны78: 71/86
Fraction нейроны79: 64/51
Fraction нейроны80: 6143/27392
Fraction нейроны81: -55/118
Fraction нейроны82: 12288/11519
Fraction нейроны83: -9727/11008
Fraction нейроны84: -18688/20995
Fraction нейроны85: 17/89
Fraction нейроны86: 5377/19971
Fraction нейроны87: 85/97
Fraction нейроны88: -11/10
Fraction нейроны89: 2986/8021
Fraction нейроны90: -1499/4389
Fraction нейроны91: -19197/11777
Fraction нейроны92: -3586/29951
